scenario,time_days,temperature_change_c,completed_cycles,mechanical_mm,thermal_recoverable_mm,hydraulic_transient_mm,cyclic_residual_mm,total_settlement_mm,allowable_settlement_mm,u_upper_silty_clay_kpa,u_sandy_silt_kpa,u_dense_sand_kpa
Bridge-abutment retrofit,2469.977900552486,-7.975610279820451,6.0,11.666666666666666,-0.922323680357538,-2.8519460202574276,0.3644679338750654,8.256864899926766,15.0,-79.42072461935162,-39.18713431865613,-3.206407519054979
Bridge-abutment retrofit,2471.995856353591,-7.9491409082724225,6.0,11.666666666666666,-0.9192626822236776,-3.005016299763124,0.3644679338750654,8.10685561855493,15.0,-78.98566706066374,-38.533156850869645,-2.9035054881369016
Bridge-abutment retrofit,2474.013812154696,-7.913093441067903,6.0,11.666666666666666,-0.9150940441567247,-3.154350113860134,0.3644679338750654,7.961690442524873,15.0,-78.45586627452211,-37.83274993313534,-2.5971049592521385
Bridge-abutment retrofit,2476.031767955801,-7.867511312597229,6.0,11.666666666666666,-0.9098227890408656,-3.29976777544209,0.3644679338750654,7.821544036058777,15.0,-77.8319597092311,-37.086757501200154,-2.287575121173244
Bridge-abutment retrofit,2478.049723756906,-7.812449445774948,6.0,11.666666666666666,-0.903455268327952,-3.4410943155273666,0.3644679338750654,7.686585016686414,15.0,-77.114698205207,-36.29607841780567,-1.975288933246668
Bridge-abutment retrofit,2480.067679558011,-7.747974185861915,6.0,11.666666666666666,-0.8959991543844888,-3.578159694084199,0.3644679338750654,7.556975752073043,15.0,-76.30494509026897,-35.461665389628095,-1.6606226760055907
Bridge-abutment retrofit,2482.0856353591157,-7.674163220524571,6.0,11.666666666666666,-0.8874634312470471,-3.7107990049168302,0.3644679338750654,7.432872164377854,15.0,-75.40367513939337,-34.584523819341875,-1.34395549778163
Bridge-abutment retrofit,2484.1035911602207,-7.591105486227158,6.0,11.666666666666666,-0.8778583837971768,-3.838852674365851,0.3644679338750654,7.314423542378703,15.0,-74.41197340017972,-33.66571059418625,-1.0256689578599818
Bridge-abutment retrofit,2486.1215469613257,-7.498901061070367,6.0,11.666666666666666,-0.8671955853689445,-3.962166653583034,0.3644679338750654,7.201772361589752,15.0,-73.33103388545022,-32.70633281249996,-0.706146566730809
Bridge-abutment retrofit,2488.1395027624308,-7.397661044204948,6.0,11.666666666666666,-0.8554878838039586,-4.080592604149437,0.3644679338750654,7.095054112588336,15.0,-72.16215813455239,-31.707546449753135,-0.38577332398865255
Bridge-abutment retrofit,2490.157458563536,-7.287507421965904,6.0,11.666666666666666,-0.8427493859707224,-4.193988076812742,0.3644679338750654,6.994397137758268,15.0,-70.90675364510138,-30.670554965687106,-0.06493525443797282
Bridge-abutment retrofit,2492.175414364641,-7.16857292088845,6.0,11.666666666666666,-0.8289954407669562,-4.3022166831286555,0.3644679338750654,6.89992247664612,15.0,-69.56633217705087,-29.596607854239085,0.25598105703666557
Bridge-abutment retrofit,2494.193370165746,-7.041000847782885,6.0,11.666666666666666,-0.8142426206253714,-4.405148259799497,0.3644679338750654,6.811743720116863,15.0,-68.1425079311358,-28.486999137999334,0.5765889312752771
Bridge-abutment retrofit,2496.211325966851,-6.904944917061044,6.0,11.666666666666666,-0.7985087015451799,-4.502659025511944,0.3644679338750654,6.729966873484608,15.0,-66.6369956038821,-27.343065809014718,0.8965020607607158
Bridge-abutment retrofit,2498.229281767956,-6.760569065522403,6.0,11.666666666666666,-0.7818126416733991,-4.594631730085009,0.3644679338750654,6.654690228783323,15.0,-65.05160832152674,-26.166186217817383,1.2153349750891629
Bridge-abutment retrofit,2500.247237569061,-6.6080472548230045,6.0,11.666666666666666,-0.7641745584617615,-4.680955795748508,0.3644679338750654,6.586004246331463,15.0,-63.3882554553377,-24.957778412619778,1.5327035054319154
Bridge-abutment retrofit,2502.2651933701654,-6.447563261865247,6.0,11.666666666666666,-0.7456157044267567,-4.761527450381756,0.3644679338750654,6.52399144573322,15.0,-61.64894032096641,-23.719298430677206,1.8482252474288625
Bridge-abutment retrofit,2504.2831491712705,-6.279310457360897,6.0,11.666666666666666,-0.7261584415419882,-4.836249852552074,0.3644679338750654,6.468726306447669,15.0,-59.835757764603045,-22.452238543875325,2.1615200219561954
Bridge-abutment retrofit,2506.3011049723755,-6.10349157283464,6.0,11.666666666666666,-0.7058262142937599,-4.905033208202192,0.3644679338750654,6.42027517804578,15.0,-57.95089163884784,-21.158125460660283,2.4722103332122582
Bridge-abutment retrofit,2508.3190607734805,-5.920318456348252,6.0,11.666666666666666,-0.6846435214322815,-4.967794878846279,0.3644679338750654,6.378696200263171,15.0,-55.996612171333354,-19.838518486472932,2.779921823570856
Bridge-abutment retrofit,2510.3370165745855,-5.73001181724022,6.0,11.666666666666666,-0.6626358864525863,-5.024459481143972,0.3644679338750654,6.344039232945174,15.0,-53.975273229273235,-18.495007644907478,3.084283724652954
Bridge-abutment retrofit,2512.3549723756905,-5.532800960188178,6.0,11.666666666666666,-0.6398298268407068,-5.0749589777325435,0.3644679338750654,6.3163457959684814,15.0,-51.889309483231436,-17.129211761856862,3.38492930407371
